n,seconds
1,0.0000601510
2,0.0001045990
3,0.0001464770
4,0.0001942010
5,0.0002498810
6,0.0003197590
7,0.0003506370
8,0.0003915310
9,0.0004506900
10,0.0004991220
11,0.0005442110
12,0.0005961190
13,0.0006440090
14,0.0007198000
15,0.0007456690
16,0.0008382370
17,0.0008912130
18,0.0009528340
19,0.0009821900
20,0.0010519910
21,0.0010848900
22,0.0012392250
23,0.0012521290
24,0.0012779840
25,0.0013634030
26,0.0013970360
27,0.0014328660
28,0.0015271270
29,0.0016242550
30,0.0016945400
31,0.0017560650
32,0.0018985750
33,0.0018362170
34,0.0018971700
35,0.0019558460
36,0.0020524140
37,0.0020713900
38,0.0021143050
39,0.0022703350
40,0.0022406300
41,0.0023342800
42,0.0023634430
43,0.0024323840
44,0.0024980790
45,0.0026321500
46,0.0029551850
47,0.0030011910
48,0.0027934860
49,0.0027695170
50,0.0028717990
51,0.0030359400
52,0.0034959830
53,0.0039575420
54,0.0062399500
55,0.0042418380
56,0.0036124550
57,0.0036922320
58,0.0037293360
59,0.0038171720
60,0.0038085230
61,0.0038981170
62,0.0039442200
63,0.0038629430
64,0.0039395830
65,0.0039893410
66,0.0040783420
67,0.0041043240
68,0.0038915620
69,0.0038328420
70,0.0039182330
71,0.0045142440
72,0.0042613770
73,0.0043139010
74,0.0048470330
75,0.0045067530
76,0.0044524670
77,0.0044487790
78,0.0046895320
79,0.0046348760
80,0.0046142240
81,0.0047597060
82,0.0050395070
83,0.0047606850
84,0.0047520080
85,0.0048412490
86,0.0048681650
87,0.0049491190
88,0.0050133040
89,0.0051584470
90,0.0050319830
91,0.0051102430
92,0.0052461290
93,0.0056208920
94,0.0052838370
95,0.0054623860
96,0.0056598590
97,0.0059429930
98,0.0064341130
99,0.0070061000
100,0.0065724250
101,0.0067395350
102,0.0065752380
103,0.0067735230
104,0.0068539730
105,0.0068845910
106,0.0069959450
107,0.0065639320
108,0.0074735410
109,0.0069980250
110,0.0064750900
111,0.0069633850
112,0.0067725880
113,0.0096330800
114,0.0070266970
115,0.0067927660
116,0.0068045520
117,0.0065826160
118,0.0069318090
119,0.0068660490
120,0.0067834980
121,0.0071337810
122,0.0069160290
123,0.0071764350
124,0.0070939260
125,0.0071750250
126,0.0074396820
127,0.0074340870
128,0.0076213420
129,0.0074401980
130,0.0076983850
131,0.0076191130
132,0.0076176440
133,0.0079113100
134,0.0076804000
135,0.0100787640
136,0.0080782530
137,0.0088349180
138,0.0081326010
139,0.0088678690
140,0.0082185570
141,0.0093932730
142,0.0091266600
143,0.0087100210
144,0.0091425050
145,0.0102306280
146,0.0096307550
147,0.0102045590
148,0.0093460660
149,0.0091754810
150,0.0095358670
151,0.0091925280
152,0.0095298040
153,0.0090992150
154,0.0096287520
155,0.0093763130
156,0.0098201340
157,0.0100289010
158,0.0098509540
159,0.0103132210
160,0.0108517150
161,0.0105439230
162,0.0102544210
163,0.0097277530
164,0.0101659580
165,0.0098584790
166,0.0102594440
167,0.0100111140
168,0.0103368260
169,0.0103779270
170,0.0101252680
171,0.0104765930
172,0.0108094940
173,0.0111617230
174,0.0109354920
175,0.0104582540
176,0.0108929750
177,0.0110665440
178,0.0111894370
179,0.0110481070
180,0.0111676050
181,0.0113469860
182,0.0116367810
183,0.0116049180
184,0.0118928880
185,0.0115487830
186,0.0113301130
187,0.0116104480
188,0.0132205470
189,0.0117954440
190,0.0117974880
191,0.0117000890
192,0.0115057450
193,0.0130219580
194,0.0120825170
195,0.0125700920
196,0.0128818290
197,0.0133682540
198,0.0128218040
199,0.0121299410
200,0.0118759870
